,Awards,col_final1,col_final2,col_final3
5115,4 nominations.,0,4 nominations,
5118,11 wins & 6 nominations., 6 nominations.,11 wins ,0
5120,1 nomination.,0,1 nomination,
5121,5 wins & 2 nominations., 2 nominations.,5 wins ,0
5122,Nominated for 1 Golden Globe. Another 12 wins & 35 nominations., 35 nominations.,Nominated for 1 Golden Globe, Another 12 wins 
5124,7 wins & 3 nominations., 3 nominations.,7 wins ,0
5125,2 wins.,0,2 wins,
5127,1 nomination.,0,1 nomination,
5128,1 win.,0,1 win,
5130,1 win.,0,1 win,
5133,4 nominations.,0,4 nominations,
5135,1 win & 1 nomination., 1 nomination.,1 win ,0
5136,1 win.,0,1 win,
5140,3 nominations.,0,3 nominations,
5144,1 win.,0,1 win,
5145,7 wins & 4 nominations., 4 nominations.,7 wins ,0
5150,1 win & 1 nomination., 1 nomination.,1 win ,0
5151,1 win & 6 nominations., 6 nominations.,1 win ,0
5152,3 wins & 4 nominations., 4 nominations.,3 wins ,0
5153,8 nominations.,0,8 nominations,
5155,1 win.,0,1 win,
5160,10 wins & 38 nominations., 38 nominations.,10 wins ,0
5163,2 wins.,0,2 wins,
5164,Won 2 Golden Globes. Another 7 wins & 54 nominations., 54 nominations.,Won 2 Golden Globes, Another 7 wins 
5167,2 nominations.,0,2 nominations,
5170,1 nomination.,0,1 nomination,
5176,1 nomination.,0,1 nomination,
5177,7 wins & 2 nominations., 2 nominations.,7 wins ,0
5182,1 nomination.,0,1 nomination,
5186,2 wins & 2 nominations., 2 nominations.,2 wins ,0
5189,2 nominations.,0,2 nominations,
5190,1 win.,0,1 win,
5191,1 nomination.,0,1 nomination,
5194,1 win & 1 nomination., 1 nomination.,1 win ,0
5195,1 nomination.,0,1 nomination,
5197,1 win.,0,1 win,
5202,1 nomination.,0,1 nomination,
5206,4 wins & 2 nominations., 2 nominations.,4 wins ,0
5208,Nominated for 1 Primetime Emmy. Another 1 win & 6 nominations., 6 nominations.,Nominated for 1 Primetime Emmy, Another 1 win 
5209,4 wins & 7 nominations., 7 nominations.,4 wins ,0
5211,1 win.,0,1 win,
5213,1 win & 1 nomination., 1 nomination.,1 win ,0
5216,1 nomination.,0,1 nomination,
5217,2 nominations.,0,2 nominations,
5218,1 nomination.,0,1 nomination,
5221,1 win & 2 nominations., 2 nominations.,1 win ,0
5223,1 win & 6 nominations., 6 nominations.,1 win ,0
5226,2 wins & 2 nominations., 2 nominations.,2 wins ,0
5232,1 nomination.,0,1 nomination,
5239,1 win & 1 nomination., 1 nomination.,1 win ,0
5240,1 win.,0,1 win,
5243,Nominated for 2 Golden Globes. Another 10 wins & 46 nominations., 46 nominations.,Nominated for 2 Golden Globes, Another 10 wins 
5245,8 nominations.,0,8 nominations,
5249,13 wins & 8 nominations., 8 nominations.,13 wins ,0
5254,1 nomination.,0,1 nomination,
5258,1 nomination.,0,1 nomination,
5259,1 win.,0,1 win,
5261,1 nomination.,0,1 nomination,
5262,1 win & 1 nomination., 1 nomination.,1 win ,0
5263,4 wins & 5 nominations., 5 nominations.,4 wins ,0
5267,2 wins & 15 nominations., 15 nominations.,2 wins ,0
5269,1 win & 6 nominations., 6 nominations.,1 win ,0
5274,1 win.,0,1 win,
5276,5 wins & 2 nominations., 2 nominations.,5 wins ,0
5288,10 wins & 2 nominations., 2 nominations.,10 wins ,0
5294,1 win & 4 nominations., 4 nominations.,1 win ,0
5312,2 nominations.,0,2 nominations,
5315,2 nominations.,0,2 nominations,
5316,1 nomination.,0,1 nomination,
5319,2 nominations.,0,2 nominations,
5336,3 nominations.,0,3 nominations,
5340,1 nomination.,0,1 nomination,
5342,Nominated for 1 Primetime Emmy. Another 30 nominations.,0,Nominated for 1 Primetime Emmy, Another 30 nominations
5344,1 nomination.,0,1 nomination,
5346,1 win.,0,1 win,
5348,4 wins & 6 nominations., 6 nominations.,4 wins ,0
5351,2 nominations.,0,2 nominations,
5352,Nominated for 1 Primetime Emmy. Another 2 wins & 4 nominations., 4 nominations.,Nominated for 1 Primetime Emmy, Another 2 wins 
5355,1 nomination.,0,1 nomination,
5357,7 nominations.,0,7 nominations,
5360,4 nominations.,0,4 nominations,
5369,1 win & 1 nomination., 1 nomination.,1 win ,0
5378,1 win & 1 nomination., 1 nomination.,1 win ,0
5380,2 wins & 2 nominations., 2 nominations.,2 wins ,0
5383,18 wins & 5 nominations., 5 nominations.,18 wins ,0
5384,1 win & 5 nominations., 5 nominations.,1 win ,0
5388,1 nomination.,0,1 nomination,
5392,6 wins & 13 nominations., 13 nominations.,6 wins ,0
5401,1 win & 8 nominations., 8 nominations.,1 win ,0
5412,4 wins.,0,4 wins,
5413,1 win.,0,1 win,
5414,1 win.,0,1 win,
5417,1 nomination.,0,1 nomination,
5420,Nominated for 4 Primetime Emmys. Another 12 nominations.,0,Nominated for 4 Primetime Emmys, Another 12 nominations
5422,2 wins & 1 nomination., 1 nomination.,2 wins ,0
5430,4 wins & 2 nominations., 2 nominations.,4 wins ,0
5432,Won 1 Primetime Emmy. Another 1 win & 4 nominations., 4 nominations.,Won 1 Primetime Emmy, Another 1 win 
5439,1 nomination.,0,1 nomination,
5444,20 wins & 32 nominations., 32 nominations.,20 wins ,0
5445,1 win & 3 nominations., 3 nominations.,1 win ,0
5456,1 win & 2 nominations., 2 nominations.,1 win ,0
5472,9 nominations.,0,9 nominations,
5480,Nominated for 1 Oscar. Another 38 wins & 74 nominations., 74 nominations.,Nominated for 1 Oscar, Another 38 wins 
5481,3 wins & 3 nominations., 3 nominations.,3 wins ,0
5486,1 win & 11 nominations., 11 nominations.,1 win ,0
5500,1 nomination.,0,1 nomination,
5504,1 win & 1 nomination., 1 nomination.,1 win ,0
